unique_id,ds,LGBMRegressor,XGBRegressor,LinearRegression,LGBMRegressor-lo-95,LGBMRegressor-hi-95,XGBRegressor-lo-95,XGBRegressor-hi-95,LinearRegression-lo-95,LinearRegression-hi-95
1,2024-04-02 11:00:00,393192.7681960286,392572.53,380980.60360846383,369886.1107553311,416499.42563672614,373325.5781875,411819.4843125,342599.9260612581,419361.28115566954

1,2024-04-02 12:00:00,413118.80395429226,415814.47,389606.16984481056,386793.5751922736,439444.03271631093,395488.146625,436140.790875,338087.0160174716,441125.3236721495

1,2024-04-02 13:00:00,422535.18115606526,428439.84,399122.17734911956,397338.6172749714,447731.7450371591,402403.11153125,454476.57596875,344341.7833572483,453902.57134099083

1,2024-04-02 14:00:00,430235.8283889768,431169.66,408005.6443732209,405267.2811934966,455204.375584457,399775.56978125,462563.74271875,354422.92876805493,461588.3599783869

1,2024-04-02 15:00:00,435433.85401604517,433470.72,415302.74820206914,408004.7756651499,462862.9323669404,397279.13996875,469662.29753125,364779.4987080643,465825.99769607396

1,2024-04-02 16:00:00,438388.5308492569,434173.78,420477.9383641517,408397.4432820556,468379.6184164582,398346.520625,470001.041875,373419.77302903304,467536.10369927034

1,2024-04-02 17:00:00,440596.0137055624,435686.75,423720.40310307225,410132.5883072649,471059.4391038599,400623.71228125,470749.78771875,381197.2174641949,466243.5887419496

1,2024-04-02 18:00:00,442690.5728443743,436363.34,425795.6483572142,412344.60419871495,473036.5414900336,403733.907875,468992.779625,388517.63982059964,463073.6568938287

1,2024-04-02 19:00:00,445451.98755235854,436646.9,427626.43946779653,414684.58042774675,476219.3946769703,404879.36665625,468414.44584375,393659.4195536201,461593.45938197296

1,2024-04-02 20:00:00,448932.1303324894,436753.3,429973.1722558113,420671.1649344969,477193.09573048184,406879.21509375004,466627.40990625,398593.5306500211,461352.81386160146

1,2024-04-02 21:00:00,451718.3763305553,437871.97,433524.0049716591,428332.61255611473,475104.14010499587,412510.80334374995,463233.13415625005,404421.9104399964,462626.0995033218

1,2024-04-02 22:00:00,453195.19507824327,440335.06,438149.28842398664,433045.20624476083,473345.1839117257,418428.521,462241.604,410296.78221966495,466001.79462830833

